General
Serial Number,IQDVT Version,CV VERSION,DUT VERSION,Date,Time
,1.8.7.2,wlan_7.2.300@r1044+a+233+a+23-e90bc1,2.27.1_r1044+a+233+a+23-e90bc1,2026/1/19,16:31
XTAL Calibration
Test,Band,OffsetWord,Freq Offset[PPM],Limit,Temperature,Pass/Fail
1,2G,46,0.07, ,47,Pass
TX Calibration 24GHz
Test,Band,Tx Mode,Ant,Rate,BW,Frequency,Clock Error,Power offset,Measure Power,Power Limit,Power Pass/Fail,Power @ EVM -25dB,Max Power Evm,Power & EVM Limit [>=23dBm] [<=-25dB],Power @ EVM -35dB,UEvm, Power & EVM Limit [>=20dBm] [<=-35dB],S2D GAIN Reg1,S2D OFFSET Reg1,COEFF A Reg1,COEFF B Reg1,Error Reg1,Error Limit Reg1 [<1],Temp,Pass/Fail
2.1,2G,802.11n,0,MCS7,20MHz,2412,0.06,32,17.65,(17.00 - 18.00),Pass,26.68,-25.12,Pass,23.74,-39.08,Pass,3,39,493,202,0.39,Pass,46,Pass
2.1,2G,802.11n,1,MCS7,20MHz,2412,0.10,33,17.64,(17.00 - 18.00),Pass,26.68,-26.11,Pass,23.75,-39.23,Pass,3,37,517,-243,0.48,Pass,46,Pass
2.1,2G,802.11n,2,MCS7,20MHz,2412,0.10,32,17.27,(17.00 - 18.00),Pass,26.25,-27.29,Pass,24.29,-36.63,Pass,3,39,505,-59,0.29,Pass,46,Pass
2.1,2G,802.11n,3,MCS7,20MHz,2412,0.14,33,17.34,(17.00 - 18.00),Pass,26.24,-27.77,Pass,24.28,-36.77,Pass,3,39,503,-28,0.35,Pass,46,Pass
2.2,2G,802.11n,0,MCS7,20MHz,2462,0.17,31,17.52,(17.00 - 18.00),Pass,26.56,-25.71,Pass,23.61,-40.37,Pass,3,39,494,156,0.42,Pass,46,Pass
2.2,2G,802.11n,1,MCS7,20MHz,2462,0.19,32,17.35,(17.00 - 18.00),Pass,26.43,-27.54,Pass,24.46,-36.41,Pass,3,37,519,-306,0.44,Pass,46,Pass
2.2,2G,802.11n,2,MCS7,20MHz,2462,0.15,32,17.45,(17.00 - 18.00),Pass,26.49,-26.47,Pass,24.52,-36.07,Pass,3,40,505,120,0.26,Pass,46,Pass
2.2,2G,802.11n,3,MCS7,20MHz,2462,0.24,33,17.46,(17.00 - 18.00),Pass,26.46,-27.04,Pass,24.51,-35.22,Pass,3,39,504,-65,0.37,Pass,46,Pass
TX Calibration 24GHz
Test,Band,Tx Mode,Ant,Rate,BW,Frequency,Clock Error,Power offset,Measure Power,Power Limit,Power Pass/Fail,Power @ EVM -25dB,Max Power Evm,Power & EVM Limit [>=23dBm] [<=-25dB],Power @ EVM -36dB,UEvm, Power & EVM Limit [>=20dBm] [<=-36dB],S2D GAIN Reg1,S2D OFFSET Reg1,COEFF A Reg1,COEFF B Reg1,Error Reg1,Error Limit Reg1 [<1],Temp,Pass/Fail
3.1,2G,802.11n,0,MCS7,40MHz,2422,0.29,31,17.34,(17.00 - 18.00),Pass,27.34,-27.87,Pass,25.52,-37.01,Pass,3,38,506,-68,0.43,Pass,46,Pass
3.1,2G,802.11n,1,MCS7,40MHz,2422,0.30,32,17.37,(17.00 - 18.00),Pass,27.35,-27.20,Pass,25.51,-36.72,Pass,3,36,533,-556,0.31,Pass,47,Pass
3.1,2G,802.11n,2,MCS7,40MHz,2422,0.29,32,17.45,(17.00 - 18.00),Pass,27.33,-26.94,Pass,25.51,-36.41,Pass,3,38,516,-289,0.18,Pass,47,Pass
3.1,2G,802.11n,3,MCS7,40MHz,2422,0.31,33,17.45,(17.00 - 18.00),Pass,28.07,-25.49,Pass,25.43,-37.18,Pass,3,38,516,-271,0.23,Pass,47,Pass
TX Calibration 24GHz
Test,Band,Tx Mode,Ant,Rate,BW,Frequency,Clock Error,Power offset,Measure Power,Power Limit,Power Pass/Fail,Power @ EVM -25dB,Max Power Evm,Power & EVM Limit [>=20dBm] [<=-25dB],Power @ EVM -30dB,UEvm, Power & EVM Limit [>=0dBm] [<=-30dB],S2D GAIN Reg1,S2D OFFSET Reg1,COEFF A Reg1,COEFF B Reg1,Error Reg1,Error Limit Reg1 [<1],Temp,Pass/Fail
4.1,2G,802.11b,0,CCK 11M,20MHZ,2412,0.26,33,17.43,(17.00 - 18.00),Pass,28.96,-29.74,Pass,27.84,-30.85,Pass,3,38,527,-58,0.75,Pass,46,Pass
