General
Serial Number,IQDVT Version,CV VERSION,DUT VERSION,Date,Time
,1.8.7.2,wlan_7.2.300@r1044+a+233+a+23-e90bc1,2.27.1_r1044+a+233+a+23-e90bc1,2026/4/29,17:40
Rx Reciever DFS
Test,Ant,Frequency,Channel,DUT Transmit Power,RSSI,RSSI Error,Temp,Pass/Fail
1.1.1,4,5180,36,-40,-48.00,8.00,47,Pass
1.2.1,4,5190,38,-40,-48.00,8.00,47,Pass
1.3.1,4,5200,40,-40,-48.00,8.00,47,Pass
1.4.1,4,5210,42,-40,-48.00,8.00,47,Pass
1.5.1,4,5220,44,-40,-48.00,8.00,47,Pass
1.6.1,4,5230,46,-40,-48.00,8.00,47,Pass
1.7.1,4,5240,48,-40,-48.00,8.00,47,Pass
1.8.1,4,5250,50,-40,-48.00,8.00,47,Pass
1.9.1,4,5260,52,-40,-48.00,8.00,47,Pass
1.10.1,4,5270,54,-40,-48.00,8.00,47,Pass
1.11.1,4,5280,56,-40,-48.00,8.00,47,Pass
1.12.1,4,5290,58,-40,-48.00,8.00,47,Pass
1.13.1,4,5300,60,-40,-48.00,8.00,47,Pass
1.14.1,4,5310,62,-40,-48.00,8.00,47,Pass
1.15.1,4,5320,64,-40,-48.00,8.00,47,Pass
1.16.1,4,5500,100,-40,-48.00,8.00,47,Pass
1.17.1,4,5510,102,-40,-48.00,8.00,47,Pass
1.18.1,4,5520,104,-40,-48.00,8.00,47,Pass
1.19.1,4,5530,106,-40,-48.00,8.00,47,Pass
1.20.1,4,5540,108,-40,-48.00,8.00,47,Pass
1.21.1,4,5550,110,-40,-48.00,8.00,47,Pass
1.22.1,4,5560,112,-40,-48.00,8.00,47,Pass
1.23.1,4,5570,114,-40,-48.00,8.00,47,Pass
1.24.1,4,5580,116,-40,-48.00,8.00,47,Pass
1.25.1,4,5590,118,-40,-48.00,8.00,47,Pass
1.26.1,4,5600,120,-40,-48.00,8.00,47,Pass
1.27.1,4,5610,122,-40,-48.00,8.00,47,Pass
1.28.1,4,5620,124,-40,-48.00,8.00,47,Pass
1.29.1,4,5630,126,-40,-48.00,8.00,47,Pass
1.30.1,4,5640,128,-40,-48.00,8.00,47,Pass
1.31.1,4,5660,132,-40,-48.00,8.00,47,Pass
1.32.1,4,5670,134,-40,-48.00,8.00,47,Pass
1.33.1,4,5680,136,-40,-48.00,8.00,47,Pass
1.34.1,4,5690,138,-40,-48.00,8.00,47,Pass
1.35.1,4,5700,140,-40,-48.00,8.00,47,Pass
1.36.1,4,5710,142,-40,-48.00,8.00,48,Pass
1.37.1,4,5720,144,-40,-48.00,8.00,47,Pass
1.38.1,4,5745,149,-40,-49.00,9.00,47,Pass
1.39.1,4,5755,151,-40,-49.00,9.00,48,Pass
1.40.1,4,5765,153,-40,-48.00,8.00,48,Pass
1.41.1,4,5775,155,-40,-48.00,8.00,48,Pass
1.42.1,4,5785,157,-40,-48.00,8.00,47,Pass
1.43.1,4,5795,159,-40,-48.00,8.00,48,Pass
1.44.1,4,5805,161,-40,-48.00,8.00,48,Pass
1.45.1,4,5815,163,-40,-48.00,8.00,48,Pass
1.46.1,4,5825,165,-40,-48.00,8.00,48,Pass
1.47.1,4,5835,167,-40,-48.00,8.00,48,Pass
1.48.1,4,5845,169,-40,-48.00,8.00,48,Pass
1.49.1,4,5855,171,-40,-48.00,8.00,48,Pass
1.50.1,4,5865,173,-40,-49.00,9.00,48,Pass
1.51.1,4,5875,175,-40,-49.00,9.00,48,Pass
1.52.1,4,5885,177,-40,-50.00,10.00,48,Pass
1.53.1,4,5905,181,-40,-55.00,15.00,48,Pass
Tx Performance
Test,Band,Tx Mode,Ant,Rate,Signal BW,Spectrum BW,Frequency,Channel,Preamble,Guard Interval,GILTF,Coding Type,SS,Fixed Power,Open/Close loop,Temperature,DUT Transmit Power,Limit Spec On/Off,Volt,Power,Power Error,Limit[Power Error],EVM,Limit[EVM],Clock Error S1,Limit[Clock],Frequency Error Hz,Frequency Error ppm,Limit[Freq],Lo Leakage,Limit[Lo leakage],Lo Leakage Margin,Limit[Lo leakage Margin],Mask Violation,Limit[Mask Violation],Flatness Margin,Spectral Mask Margin,Worst Mask Margin,Error Message,Pass/Fail
21.1.1,24G,802.11n,0,MCS7,20MHz,20MHZ,2412,1,N/A,Long,N/A,LDPC,1,false,Close,50,24,Off,12602,23.96,-0.04, ,-35.91,(<-30),-1.02, ,-2861.94,-1.19,(-10 - 10),-57.69, ,42.69, ,0.00,(<1),[3.90 3.88 3.85 3.85 ],[9.77 9.35 8.04 8.53 6.44 6.03 8.47 7.83 ],[-30.04 -29.69 -11.13 -10.90 10.86 11.09 29.38 30.31 ],No Error,Pass
21.1.2,24G,802.11n,0,MCS7,20MHz,20MHZ,2472,13,N/A,Long,N/A,LDPC,1,false,Close,50,24,Off,12493,23.83,-0.17, ,-35.15,(<-30),-1.04, ,-2910.63,-1.18,(-10 - 10),-60.10, ,45.10, ,0.00,(<1),[3.98 3.93 3.92 3.93 ],[7.43 7.10 6.62 7.27 5.18 4.65 4.56 4.79 ],[-30.35 -29.65 -11.13 -10.90 10.86 11.09 29.38 30.31 ],No Error,Pass
21.2.1,24G,802.11n,1,MCS7,20MHz,20MHZ,2412,1,N/A,Long,N/A,LDPC,1,false,Close,51,24,Off,12411,23.93,-0.07, ,-36.27,(<-30),-1.00, ,-2813.75,-1.17,(-10 - 10),-60.00, ,45.00, ,0.00,(<1),[3.91 3.86 3.88 3.90 ],[11.16 10.33 8.11 8.57 6.52 6.02 8.85 8.93 ],[-30.63 -29.69 -11.13 -10.90 10.86 11.09 29.38 30.35 ],No Error,Pass
21.2.2,24G,802.11n,1,MCS7,20MHz,20MHZ,2472,13,N/A,Long,N/A,LDPC,1,false,Close,50,24,Off,12456,23.78,-0.22, ,-36.12,(<-30),-0.99, ,-2860.38,-1.16,(-10 - 10),-60.49, ,45.49, ,0.00,(<1),[3.97 3.94 3.93 3.91 ],[8.43 8.11 6.74 7.37 5.31 4.57 5.30 5.94 ],[-30.12 -29.65 -11.13 -10.90 10.86 11.09 29.38 30.31 ],No Error,Pass
21.3.1,24G,802.11n,2,MCS7,20MHz,20MHZ,2412,1,N/A,Long,N/A,LDPC,1,false,Close,50,24,Off,12498,23.95,-0.05, ,-36.33,(<-30),-1.03, ,-2776.79,-1.15,(-10 - 10),-71.18, ,56.18, ,0.00,(<1),[3.89 3.87 3.88 3.88 ],[9.45 9.50 8.04 8.49 6.45 6.09 8.05 7.40 ],[-30.00 -29.69 -11.13 -10.90 10.86 11.09 29.38 30.31 ],No Error,Pass
21.3.2,24G,802.11n,2,MCS7,20MHz,20MHZ,2472,13,N/A,Long,N/A,LDPC,1,false,Close,50,24,Off,12357,23.86,-0.14, ,-35.31,(<-30),-1.03, ,-2832.45,-1.15,(-10 - 10),-67.06, ,52.06, ,0.00,(<1),[3.97 3.94 3.94 3.92 ],[7.89 7.32 6.64 7.30 5.18 4.65 4.58 5.07 ],[-30.08 -29.65 -11.13 -10.90 10.86 11.09 29.38 30.31 ],No Error,Pass
21.4.1,24G,802.11n,3,MCS7,20MHz,20MHZ,2412,1,N/A,Long,N/A,LDPC,1,false,Close,50,24,Off,12599,24.05,0.05, ,-35.16,(<-30),-0.91, ,-2758.33,-1.14,(-10 - 10),-57.02, ,42.02, ,0.00,(<1),[3.90 3.84 3.87 3.87 ],[10.60 10.52 7.96 8.57 6.49 6.05 8.72 7.57 ],[-30.04 -29.69 -11.13 -10.94 10.86 11.09 29.38 30.31 ],No Error,Pass
21.4.2,24G,802.11n,3,MCS7,20MHz,20MHZ,2472,13,N/A,Long,N/A,LDPC,1,false,Close,50,24,Off,12565,23.72,-0.28, ,-34.45,(<-30),-0.97, ,-2820.75,-1.14,(-10 - 10),-69.27, ,54.27, ,0.00,(<1),[3.97 3.89 3.90 3.88 ],[8.25 8.20 6.65 7.37 5.27 4.53 5.25 6.01 ],[-30.12 -29.65 -11.13 -10.94 10.86 11.09 29.38 30.04 ],No Error,Pass
22.1.1,24G,802.11be,0,MCS13,40MHz,40MHz,2442,7,N/A,N/A,GILTF0,LDPC,1,false,Close,50,21,Off,10989,21.25,0.25, ,-43.1,(<-41),-1.12, ,-2780.19,-1.14,(-10 - 10),-63.66, ,31.66, ,0.00,(<1),[3.91 3.72 3.73 3.74 ],[13.73 13.44 8.50 8.94 9.54 8.99 13.03 13.45 ],[-60.00 -59.96 -20.51 -20.47 20.47 20.51 59.53 60.00 ],No Error,Pass
22.2.1,24G,802.11be,1,MCS13,40MHz,40MHz,2442,7,N/A,N/A,GILTF0,LDPC,1,false,Close,50,21,Off,10796,21.11,0.11, ,-43.08,(<-41),-1.12, ,-2768.36,-1.13,(-10 - 10),-69.51, ,37.51, ,0.00,(<1),[3.87 3.74 3.74 3.80 ],[13.19 13.25 8.41 8.86 9.61 9.08 13.37 14.01 ],[-60.00 -59.96 -20.51 -20.47 20.47 20.51 59.41 60.00 ],No Error,Pass
22.3.1,24G,802.11be,2,MCS13,40MHz,40MHz,2442,7,N/A,N/A,GILTF0,LDPC,1,false,Close,50,21,Off,10916,21.2,0.2, ,-43.66,(<-41),-1.12, ,-2768.50,-1.13,(-10 - 10),-55.06, ,23.06, ,0.00,(<1),[3.86 3.74 3.72 3.77 ],[13.77 13.65 8.44 8.89 9.60 9.04 13.13 13.08 ],[-60.00 -59.65 -20.51 -20.47 20.47 20.51 59.96 60.00 ],No Error,Pass
22.4.1,24G,802.11be,3,MCS13,40MHz,40MHz,2442,7,N/A,N/A,GILTF0,LDPC,1,false,Close,50,21,Off,10885,21.16,0.16, ,-42.75,(<-41),-1.12, ,-2770.27,-1.13,(-10 - 10),-59.41, ,27.41, ,0.00,(<1),[3.86 3.73 3.73 3.79 ],[14.55 14.35 8.36 8.80 9.62 9.13 13.71 14.18 ],[-60.00 -59.34 -20.51 -20.47 20.47 20.51 59.84 60.00 ],No Error,Pass
23.1.1,5G,802.11ag,0,OFDM 54,20MHz,20MHZ,5180,36,N/A,N/A,N/A,N/A,1,false,Close,51,20.5,Off,12875,20.37,-0.13, ,-30.91,(<-28),-1.52, ,-5926.76,-1.14,(-10 - 10),-61.33, ,46.33, ,0.00,(<1),[3.93 3.89 3.91 3.91 ],[10.18 10.15 8.97 9.44 8.33 8.11 10.01 10.51 ],[-30.00 -29.06 -11.02 -10.98 10.98 11.21 29.69 30.35 ],No Error,Pass
